"","x"
"700",-0.017945081163822
"701",0.0326719754773417
"702",-0.0807559907415064
"703",0.000931819692706878
"704",0.00609585033127819
"705",-0.0888163037434338
"706",-0.0572494983275159
"707",-0.0353617515847457
"708",0.0215972090644559
"709",0.0187888367696096
"710",-0.026398426457394
"711",-0.0199580765021012
"712",0.0145459765155102
"713",0.0275558449881093
"714",0.0033956187496646
"715",0.0154643830326798
"716",-0.00807619804069594
"717",-0.0377532307629858
"718",0.0172567539774452
"719",-0.00391844434522043
"720",0.119167988024028
"721",0.128263372285198
"722",0.0593548256697483
"723",-0.0144447242463596
"724",-0.014497696799328
"725",-0.0108887657755623
"726",0.0139414473169446
"727",-0.0340208957076773
"728",0.0772319493113138
"729",0.062453983929193
"730",0.0526689293723865
"731",-0.0376405392453471
"732",0.0284097498901289
"733",0.0676810050819246
"734",-0.0853019564764676
"735",-0.0639975745860157
"736",0.00362372205868594
"737",0.0214615550307161
"738",-0.0221431026265618
"739",0.00121514849974834
"740",-0.0240469661260982
"741",-0.0684804264119893
"742",-0.00669492995380789
"743",-0.0429241666496177
"744",-0.0110897762948855
"745",-0.0121743829489936
"746",0.00504874612995153
"747",-0.141468577959923
"748",-0.0235021123611739
"749",-0.0301174086241473
"750",-0.0309045482036757
"751",-0.00204564682831941
"752",-0.0415005048987029
"753",-0.0823699360943389
"754",-0.109342121488613
"755",-0.0230776597751734
"756",-0.00296757290245454
"757",-0.00446118189790828
"758",0.0498748465750953
"759",0.0235797809552418
"760",0.0887173735997499
"761",0.0941009293988461
"762",-0.0264253494286651
"763",-0.0812186735078146
"764",0.01297421622665
"765",-0.03072747240363
"766",-0.0301225848544727
"767",0.037807616539194
"768",0.0341398711421207
"769",0.0433364760315411
"770",-0.0682539012055847
"771",0.0511227347844327
"772",-0.0133753354066949
"773",0.00980624414111102
"774",-0.0506731116109376
"775",-0.0182275683582946
"776",0.0357486452120396
"777",-0.0153970246113575
"778",-0.0224586723957234
"779",-0.0886645595635971
"780",-0.0606510497370612
"781",0.0417199366046837
"782",-0.000685811141374798
"783",-0.00863076233513591
"784",0.00672713487365516
"785",0.34673177605569
"786",-0.00854041967114592
"787",0.00486232922558793
"788",-0.0104889290995558
"789",0.0760701609227424
"790",0.039850713756837
"791",0.00880761690660833
"792",-0.0499770203135491
"793",-0.0235143707929116
"794",0.045419169791647
"795",0.075144430948628
"796",-0.0604161588887152
"797",0.0245315856292419
"798",0.144805794443929
"799",-0.0365702588430861
"800",0.0123930809347547
"801",0.0726180525326183
"802",0.0398573625333224
"803",0.0387338978279865
"804",-0.00109170674613181
"805",-0.103346273204993
"806",0.113324434704601
"807",-0.0943210163817794
"808",0.126408423879896
"809",-0.0782165207521641
"810",0.103988125656985
"811",-0.0910273801107572
"812",-0.0288918929240902
"813",-0.136101319345172
"814",0.00875683114023397
"815",0.0634407623329883
"816",-0.0592707853435602
"817",-0.0962309661540702
"818",0.059534501694807
"819",0.020630436280195
"820",0.0896939589824349
"821",0.123213198269143
"822",0.157332384300154
"823",0.148729242941547
"824",0.214163303618004
"825",-0.195060597274021
"826",-0.0505300564831311
"827",-0.0276916487745918
"828",-0.00624412939018678
"829",-0.0173776175498644
"830",-0.0125920900522266
"831",0.0347581552994003
"832",-0.035356108668094
"833",-0.0212706382372429
"834",0.0704843750403772
"835",-0.000416348956676003
"836",0.0117529874502285
"837",-0.122759070097911
"838",-0.0237695257975504
"839",-0.05950346443016
"840",-0.0523841372318149
"841",0.0294022082893649
"842",-0.0548326182182152
"843",0.00806454897995631
"844",-0.0270152288183742
"845",0.023655186861532
"846",0.0189381342388632
"847",0.0380565438229946
"848",0.0784879041148034
"849",-0.039933767046357
"850",0.022650269815255
"851",0.0011964593956763
"852",-0.0575287541413992
"853",-0.00230214951379696
"854",-0.0448701523453841
"855",-0.127457492714863
"856",-0.0531727265547082
"857",0.00939931114234151
"858",0.0419541729572418
"859",-0.0560104896191451
"860",-0.0394685621067356
"861",-0.0114240701295817
"862",-0.0124211251623382
"863",0.0320928905438897
"864",-0.0229512759142974
"865",-0.00679830373559051
"866",-0.0494277898810733
"867",0.0507026096145746
"868",0.00588691950726524
"869",0.0210811142355476
"870",-0.00424490890683637
"871",-0.0405892565247343
"872",-0.0729639066497578
"873",-0.0491857783396539
"874",-0.0283787867003436
"875",-0.0439370973720568
"876",0.0722966459873386
"877",0.132002781241975
"878",0.0819277884642352
"879",-0.0180760430653622
"880",0.014826800977144
"881",0.177790115675009
"882",-0.0264252856868209
"883",-0.0189745586768627
"884",-0.0372436374257614
"885",0.0336421772090392
"886",-0.0326899333919952
"887",0.0349964752584446
"888",-0.0061166196666974
"889",-0.0454320318512198
"890",-0.0635678824741731
"891",0.024681212327447
"892",-0.0322274253878575
"893",-0.0850437814970711
"894",-0.0891738862548743
"895",-0.062959485605476
"896",-0.0153717204981187
"897",-0.000413850664124631
"898",-0.00724000453801651
"899",-0.0143630898531693
"900",-0.0482276865867866
"901",0.00259862429357234
"902",0.00801895008097107
"903",0.0178896927982171
"904",0.00779516591206093
"905",-0.078510246335055
"906",-0.0172850044266268
"907",-0.00462764473472171
"908",-0.00201412189273868
"909",0.0637483000354342
"910",0.0230803766072019
"911",0.0126312440498326
"912",0.0151886696161042
"913",-0.0465037838909223
"914",0.00885369528588209
"915",-0.0911531153189705
"916",0.0604221452299863
"917",-0.0524489291552819
"918",-0.000196807416134965
"919",0.0386730224308656
"920",0.0659902334618932
"921",-0.000614298173464204
"922",-0.0663939697163864
"923",-0.028963805282348
"924",0.0263925219651993
